region,population,avg_daily_mobility,avg_contact_rate,avg_recent_cases,outbreak_status,transmission_route_from,transmission_route_from_enc,R0_estimate,eta_days,policy_type,policy_effectiveness_score,spread_prob,log_population
Mumbai,20000000,6041.666666666667,0.00030208331822916744,97.14285714285714,1,Ahmedabad,0,1.4,7.092198581560284,School Closure,0.5,0.42891250328819924,16.811242881518265
Pune,7000000,7655.555555555556,0.0010936506374149882,65.0,1,Bengaluru,3,1.2,8.264462809917356,Curfew,0.5,0.5008330204567576,15.76142084987672
Delhi,30000000,5493.75,0.00018312499389583353,170.0,1,Chennai,5,1.6,6.211180124223602,Travel Restriction,0.5,0.48728466358033523,17.216707972959764
Bengaluru,12000000,3344.4444444444443,0.000278703680478397,120.0,1,Hyderabad,12,1.5,6.622516556291391,Social Distancing,0.5,0.4821289814685184,16.300417291085605
Hyderabad,10000000,5188.888888888889,0.0005188888370000051,55.0,1,Bengaluru,3,1.3,7.633587786259541,Mask Mandate,0.5,0.43214799734498194,16.118095750958314
Chennai,9000000,3375.0,0.00037499995833333797,75.0,1,Bengaluru,3,1.2,8.264462809917356,Travel Advisory,0.5,0.37426674946210503,16.012735246411598
Ahmedabad,8000000,3250.0,0.00040624994921875635,45.0,0,Mumbai,13,1.1,9.009009009009008,Social Distancing,0.5,0.4252984447054247,15.894952224644102
Kolkata,15000000,5266.666666666667,0.0003511110877037053,100.0,1,Ahmedabad,0,1.5,6.622516556291391,Travel Ban,0.5,0.43645345367905,16.52356082573315
Lucknow,6000000,9500.0,0.0015833330694444885,40.0,0,Delhi,7,1.2,8.264462809917356,Testing Ramp-Up,0.5,0.5993773839216328,15.607270193858982
Jaipur,5000000,2475.0,0.0004949999010000198,30.0,0,Ahmedabad,0,1.1,9.009009009009008,Mask Mandate,0.5,0.33121779356939673,15.424948670398354
Uttar Pradesh,240000000,3100.0,1.2916666612847223e-05,150.0,1,Bihar,4,1.0,9.900990099009901,Social Distancing,0.5,0.47975984159433,19.29614948547293
Maharashtra,125000000,3725.0,2.97999997616e-05,130.0,1,Chhattisgarh,6,0.9,10.989010989010989,Social Distancing,0.5,0.40062740079947573,18.643824303266577
Bihar,128000000,4116.666666666667,3.216145808207194e-05,75.0,1,Chhattisgarh,6,0.8,12.345679012345679,Social Distancing,0.5,0.3908855700303446,18.667540829696392
