region,date,policy_type,description
Delhi,2025-07-19,Travel Restriction,Inter-city bus services halted
Mumbai,2025-07-18,Curfew,Night curfew from 9 PM to 5 AM
Bengaluru,2025-07-17,Lockdown,Partial lockdown in red zones
Kolkata,2025-07-20,Travel Ban,Flights from Chennai suspended
Pune,2025-07-19,Social Distancing,Public events restricted
Hyderabad,2025-07-16,Quarantine Mandate,7-day quarantine for inter-state
Chennai,2025-07-20,Travel Advisory,Avoid travel to Kolkata
Ahmedabad,2025-07-18,Mask Mandate,Masks compulsory in public
Lucknow,2025-07-20,Testing Ramp-Up,3x testing capacity implemented
Jaipur,2025-07-17,School Closure,All schools closed for 2 weeks
Delhi,2025-07-18,Mask Mandate,Masks required in all public places
Mumbai,2025-07-19,Testing Ramp-Up,Drive-through testing centers opened
Bengaluru,2025-07-20,Social Distancing,Restaurants at 50% capacity
Kolkata,2025-07-19,Curfew,Night curfew from 10 PM to 5 AM
Pune,2025-07-18,Lockdown,Weekend lockdown in city
Hyderabad,2025-07-17,Travel Ban,Flights to Delhi suspended
Chennai,2025-07-19,School Closure,Schools closed for 1 week
Ahmedabad,2025-07-17,Quarantine Mandate,14-day quarantine for travelers
Lucknow,2025-07-18,Travel Restriction,Trains to Mumbai halted
Jaipur,2025-07-19,Mask Mandate,Masks compulsory in markets
Delhi,2025-07-17,Social Distancing,Markets open with limited entry
Mumbai,2025-07-20,School Closure,Schools closed for 2 weeks
Bengaluru,2025-07-18,Testing Ramp-Up,Mobile testing vans deployed
Kolkata,2025-07-18,Travel Advisory,Avoid travel to Mumbai
Pune,2025-07-20,Curfew,Night curfew from 8 PM to 6 AM
Hyderabad,2025-07-19,Mask Mandate,Masks required in offices
Chennai,2025-07-18,Testing Ramp-Up,Testing booths at railway stations
Ahmedabad,2025-07-19,Social Distancing,Public parks open with restrictions
Lucknow,2025-07-17,Lockdown,Lockdown in containment zones
Jaipur,2025-07-18,Travel Ban,Flights to Kolkata suspended
Delhi,2025-07-16,Curfew,Night curfew from 8 PM to 5 AM
Mumbai,2025-07-17,Social Distancing,Markets open with limited entry
Bengaluru,2025-07-16,Mask Mandate,Masks required in all offices
Kolkata,2025-07-18,School Closure,Schools closed for 1 week
Pune,2025-07-17,Travel Ban,Flights to Delhi suspended
Hyderabad,2025-07-18,Testing Ramp-Up,Testing booths at bus stations
Chennai,2025-07-17,Curfew,Night curfew from 9 PM to 6 AM
